Words		# of Occurances
Aft		3264
Aft)		1632
Aft.		3264
After		133824
After--My		1632
Afternoon		6528
Afternoon,		3264
Afternoon.		3264
Afterwards		8160
Afterwards,		1632
Again		42432
Again,		31008
Again,"		1632
Again,--The		3264
Again--With		1632
Again.		57120
Again."		4896
Again.'		1632
Again:		3264
Again;		4896
Again?"		1632
Again?)		1632
Against		39168
Agent,		1632
Agent."		1632
Aghast		1632
Aghast.		1632
Ago,		1632
Ago--I		1632
Ago.		4896
Ago."		1632
Agony,		1632
Agree		1632
Agreed		3264
Agreed.		1632
Ah!		1632
Ahead		3264
Ahead,		1632
Aim		1632
Aimed		4896
Aimless		3264
Aimlessly		1632
Aimlessness		1632
Aint		1632
Air		8160
Air,		1632
Air.		4896
Ajar,		1632
Akimbo,		1632
Akin		1632
Alarm		1632
Alarm,		1632
Alarmed		3264
Alcohol,		1632
Alcoholic		1632
Alert		3264
Alertness		1632
Algerian		1632
Alien		1632
Alive,		1632
Alive.		1632
Alive?		1632
All		187680
All,		6528
All,"		3264
All,--After		1632
All-Fours		8160
All-Fours,		1632
All-Fours,--To		1632
All-Fours;		6528
All.		13056
All."		1632
All?		1632
Alleged		1632
Allowed		1632
Allowing		1632
Ally		1632
Almost		50592
Aloft		1632
Alone		17952
Alone,		4896
Alone.		9792
Along		27744
Along,		1632
Along,"		1632
Aloud		1632
Alphabet.		1632
Already		31008
Also		16320
Also,		1632
Alter		3264
Alteration.		1632
Alterations		1632
Altercation.		1632
Altered		1632
Alternate		1632
Alternately		3264
Alters		1632
Altogether		11424
Altogether,		3264
Altogether--Counting		1632
Altogether.		1632
Always		14688
Always,		1632
Am		35904
Am."		1632
Amazed		1632
Amazing		3264
Amazingly		3264
Ambuscades		4896
Ambuscades.		1632
Ambush;		1632
Amen!		1632
Amiably,		1632
Amid		4896
Amidst		6528
Ammunition,		1632
Among		73440
Amongst		1632
Amount		1632
Amphitheatre,		1632
An		220320
Anatomy		1632
And		2604672
And,		17952
Andrew		1632
Anecdotes.		1632
Anger		3264
Anger,		1632
Angles		1632
Angry		4896
Anguish.		1632
Animal		45696
Animal,		8160
Animal-Man		1632
